Date,Price,Open,High,Low,Vol.,
"Jul 26, 2020",9680.30,9690.00,9690.70,9645.90,332.06K,
"Jul 25, 2020",9704.10,9546.70,9729.30,9536.20,306.29K,
"Jul 24, 2020",9546.40,9599.20,9626.20,9480.50,359.16K,
"Jul 23, 2020",9599.60,9513.60,9646.50,9451.10,425.66K,
"Jul 22, 2020",9513.70,9387.40,9523.10,9296.00,386.00K,
"Jul 21, 2020",9387.30,9162.30,9426.90,9155.10,458.99K,
"Jul 20, 2020",9162.40,9208.10,9218.40,9139.90,312.98K,
"Jul 19, 2020",9208.00,9170.10,9224.80,9106.40,265.25K,
"Jul 18, 2020",9170.20,9155.80,9198.80,9126.70,276.40K,
"Jul 17, 2020",9155.80,9135.40,9181.90,9091.50,310.92K,
"Jul 16, 2020",9135.30,9198.70,9224.20,9052.00,429.04K,
"Jul 15, 2020",9198.70,9253.60,9270.20,9168.70,429.84K,
"Jul 14, 2020",9253.40,9243.10,9274.80,9135.70,453.83K,
"Jul 13, 2020",9243.60,9300.50,9329.60,9207.60,456.87K,
"Jul 12, 2020",9300.80,9234.20,9337.80,9170.40,366.88K,
"Jul 11, 2020",9233.30,9285.80,9295.50,9184.20,353.92K,
"Jul 10, 2020",9285.10,9239.00,9309.80,9131.90,418.47K,
"Jul 09, 2020",9235.70,9430.10,9434.50,9176.00,444.27K,
"Jul 08, 2020",9429.90,9256.30,9458.30,9233.10,509.94K,
"Jul 07, 2020",9256.00,9338.80,9371.20,9209.30,420.55K,
"Jul 06, 2020",9339.00,9080.40,9363.00,9063.20,510.27K,
"Jul 05, 2020",9081.00,9134.30,9149.60,8932.10,314.10K,
"Jul 04, 2020",9134.40,9067.10,9182.30,9049.60,261.25K,
"Jul 03, 2020",9067.10,9085.00,9120.40,9050.90,333.88K,
"Jul 02, 2020",9085.10,9229.90,9259.70,8962.10,483.10K,
"Jul 01, 2020",9229.90,9135.90,9289.00,9101.10,366.78K,
