Date,Open,High,Low,Close,Adj Close,Volume
01-09-2014,465.864014,468.174011,372.23999,386.944,386.944,410881000
01-10-2014,387.427002,411.697998,289.29599,338.321014,338.321014,902994450
01-11-2014,338.649994,457.092987,320.626007,378.046997,378.046997,659733360
01-12-2014,378.248993,384.037994,304.231995,320.192993,320.192993,553102310
01-01-2015,320.434998,320.434998,171.509995,217.464005,217.464005,1098811912
01-02-2015,216.867004,265.610992,212.014999,254.263,254.263,711518700
01-03-2015,254.283005,300.044006,236.514999,244.223999,244.223999,959098300
01-04-2015,244.223007,261.798004,214.873993,236.145004,236.145004,672338700
01-05-2015,235.938995,247.804001,228.572998,230.190002,230.190002,568122600
01-06-2015,230.233002,267.867004,221.296005,263.071991,263.071991,629780200
01-07-2015,263.345001,314.394012,253.505005,284.649994,284.649994,999892200
01-08-2015,284.686005,285.714996,199.567001,230.056,230.056,905192300
01-09-2015,230.255997,259.182007,225.117004,236.059998,236.059998,603623900
01-10-2015,236.003998,334.169006,235.615997,314.165985,314.165985,953279500
01-11-2015,315.005005,495.562012,300.997009,377.321014,377.321014,2177623396
01-12-2015,377.414001,469.102997,349.464996,430.566986,430.566986,2096250000
01-01-2016,430.721008,462.93399,354.914001,368.766998,368.766998,1990880304
01-02-2016,369.350006,448.04599,367.957001,437.696991,437.696991,1876238692
01-03-2016,437.916992,439.653015,394.035004,416.729004,416.729004,2332852776
01-04-2016,416.76001,467.964996,415.830994,448.317993,448.317993,1811475204
01-05-2016,448.484009,553.960022,437.389008,531.385986,531.385986,2234432796
01-06-2016,531.106995,777.98999,525.635986,673.336975,673.336975,4749702740
01-07-2016,672.515015,704.968018,611.833984,624.68103,624.68103,3454186204
01-08-2016,624.60199,626.119019,531.333984,575.471985,575.471985,2686220180
01-09-2016,575.546021,628.817993,570.810974,609.734985,609.734985,2004401400
01-10-2016,609.929016,720.401978,609.479004,700.971985,700.971985,2115443796
01-11-2016,701.336975,756.237,678.156006,745.690979,745.690979,2635773092
